[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
Epoch  92: Train%/Test% | Accuracy: 84.48%/77.83% | Precision: 84.14%/76.39% | Recall: 84.95%/77.64% | F1: 84.30%/76.78% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  93: Train%/Test% | Accuracy: 84.83%/78.30% | Precision: 84.45%/76.83% | Recall: 85.21%/78.01% | F1: 84.64%/77.23% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  94: Train%/Test% | Accuracy: 85.19%/78.77% | Precision: 84.77%/77.19% | Recall: 85.48%/77.85% | F1: 84.97%/77.47% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  95: Train%/Test% | Accuracy: 84.48%/77.36% | Precision: 84.16%/75.96% | Recall: 84.99%/77.27% | F1: 84.30%/76.34% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  96: Train%/Test% | Accuracy: 85.31%/77.36% | Precision: 85.08%/75.96% | Recall: 85.97%/77.27% | F1: 85.17%/76.34% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  97: Train%/Test% | Accuracy: 85.07%/77.36% | Precision: 84.87%/75.96% | Recall: 85.77%/77.27% | F1: 84.94%/76.34% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  98: Train%/Test% | Accuracy: 85.43%/78.30% | Precision: 85.24%/76.76% | Recall: 86.16%/77.75% | F1: 85.30%/77.13% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  99: Train%/Test% | Accuracy: 85.90%/78.30% | Precision: 85.61%/76.76% | Recall: 86.49%/77.75% | F1: 85.75%/77.13% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch 100: Train%/Test% | Accuracy: 85.55%/77.36% | Precision: 85.22%/75.86% | Recall: 86.06%/77.00% | F1: 85.38%/76.24% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch 101: Train%/Test% | Accuracy: 85.43%/77.36% | Precision: 85.14%/75.86% | Recall: 86.00%/77.00% | F1: 85.27%/76.24% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch 102: Train%/Test% | Accuracy: 84.24%/77.83% | Precision: 83.78%/76.16% | Recall: 83.96%/76.30% | F1: 83.86%/76.23% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch 103: Train%/Test% | Accuracy: 84.36%/77.36% | Precision: 84.53%/76.20% | Recall: 85.43%/77.80% | F1: 84.28%/76.52% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch 104: Train%/Test% | Accuracy: 77.01%/66.04% | Precision: 79.61%/68.45% | Recall: 79.30%/69.38% | F1: 77.01%/65.93% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch 105: Train%/Test% | Accuracy: 72.04%/60.85% | Precision: 78.05%/66.57% | Recall: 75.45%/66.08% | F1: 71.81%/60.83% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch 106: Train%/Test% | Accuracy: 73.22%/61.79% | Precision: 78.53%/66.65% | Recall: 76.43%/66.56% | F1: 73.07%/61.79% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch 107: Train%/Test% | Accuracy: 71.92%/59.91% | Precision: 77.56%/65.06% | Recall: 75.23%/64.80% | F1: 71.72%/59.90% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch 108: Train%/Test% | Accuracy: 78.08%/67.45% | Precision: 80.29%/69.03% | Recall: 80.22%/70.24% | F1: 78.08%/67.24% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch 109: Train%/Test% | Accuracy: 78.91%/67.92% | Precision: 80.84%/69.34% | Recall: 80.94%/70.61% | F1: 78.91%/67.69% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch 110: Train%/Test% | Accuracy: 79.62%/69.81% | Precision: 81.57%/70.62% | Recall: 81.66%/72.10% | F1: 79.62%/69.48% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch 111: Train%/Test% | Accuracy: 78.44%/67.45% | Precision: 80.89%/69.03% | Recall: 80.68%/70.24% | F1: 78.43%/67.24% | Time: fit=016s, train=003s, test=001s, total=020s
